from,to,paragraphs
e-cn-4-2000-9,e-cn-4-1999-61,72
e-cn-4-1993-24,e-cn-4-1992-20,42
a-hrc-10-9,e-cn-4-2006-56,41
a-hrc-19-58-rev-1,e-cn-4-2006-56,30
a-hrc-22-45,e-cn-4-2006-56,29
a-hrc-16-48,e-cn-4-2006-56,28
e-c-12-76-d-289-2022,e-c-12-76-d-251-2022,27
e-cn-4-2001-66,e-cn-4-2000-9,27
a-hrc-62-35,a-80-302,26
a-hrc-13-31,e-cn-4-2006-56,25
a-hrc-16-48,a-hrc-13-31,25
a-hrc-4-41,e-cn-4-2006-56,24
e-cn-4-2002-73,a-56-253,24
e-cn-4-2002-73-add-2,a-54-38-rev-1-chap-1,24
a-76-166,a-74-190,23
a-hrc-55-60,ccpr-c-gc-37,23
e-c-12-76-d-251-2022,e-c-12-76-d-289-2022,23
a-hrc-54-22,a-hrc-51-31,20
a-63-223,ccpr-c-gc-32,19
a-hrc-22-45,a-hrc-19-58-rev-1,19
a-hrc-54-24,a-hrc-45-45,19
a-hrc-56-51,a-hrc-53-39,19
a-hrc-62-44,a-80-213,19
e-cn-4-1989-18,e-cn-4-1988-19,19
e-cn-4-1991-17,e-cn-4-1990-17,19
e-cn-4-1992-17,e-cn-4-1991-17,19
a-80-208,e-c-12-gc-25,18
a-hrc-19-58-rev-1,a-hrc-16-48,18
a-hrc-48-55,a-hrc-41-33,18
a-hrc-50-31,a-hrc-47-30,18
cat-c-70-d-743-2016,cat-c-56-d-580-2014,18
a-hrc-42-45,a-69-518,17
e-cn-4-1986-18,e-cn-4-1985-15,17
e-cn-4-2001-64,e-cn-4-2000-63,17
a-70-212,a-60-18,16
a-80-302,a-hrc-37-50,16
a-hrc-42-41,a-hrc-39-48,16
a-hrc-48-55,a-68-340,16
e-cn-4-1993-62,e-cn-4-1992-52,16
a-74-318,ccpr-c-gc-36,15
a-77-288,a-hrc-47-25,15
a-hrc-19-58-rev-1,a-hrc-13-31,15
a-hrc-36-45,e-c-12-2002-11,15
a-hrc-39-45,a-hrc-30-37,15
a-hrc-47-24,ccpr-c-gc-37,15
a-hrc-48-61,e-c-12-gc-25,15
a-hrc-56-51,a-hrc-47-38,15
a-hrc-62-66,e-c-12-2000-4,15
a-hrc-7-2,e-cn-4-2006-56,15
ccpr-c-140-d-3044-3072-2017,ccpr-c-140-d-3044-2017-3045-2017,15
e-cn-4-1989-44,e-cn-4-1988-45,15
e-cn-4-1993-26,e-cn-4-1992-17,15
e-cn-4-1994-27,e-cn-4-1993-24,15
a-66-215,e-cn-4-2006-61,14
a-74-176,a-72-140,14
a-hrc-11-41,ccpr-c-gc-32,14
a-hrc-4-21-add-1,a-60-399,14
a-hrc-40-52,a-70-371,14
a-hrc-47-38,a-54-38-rev-1-chap-1,14
a-hrc-48-55,a-hrc-30-37,14
a-hrc-48-55,ccpr-c-gc-35,14
a-hrc-56-51,a-hrc-41-33,14
a-hrc-59-45,a-hrc-53-39,14
a-hrc-59-54,ccpr-c-gc-36,14
e-cn-4-2003-9,e-cn-4-2002-60,14
a-hrc-39-55,e-c-12-2002-11,13
a-hrc-41-36,ccpr-c-gc-36,13
a-hrc-44-38,a-68-382,13
a-hrc-48-57,a-hrc-45-13,13
a-hrc-56-51,a-hrc-44-51,13
a-hrc-59-44,a-68-299,13
a-hrc-62-37,ccpr-c-gc-36,13
ccpr-c-132-d-2854-2016,ccpr-c-gc-35,13
ccpr-c-138-d-3025-2017,ccpr-c-138-d-3025-3037-2017,13
cedaw-c-73-d-100-2016,annotated-cedaw-gr19-violence,13
e-cn-4-1492,e-cn-4-1435,13
e-cn-4-1992-52,e-cn-4-1991-56,13
a-69-366,a-hrc-26-34,12
a-69-397,a-hrc-13-37,12
a-70-260,a-hrc-23-49,12
a-73-365,a-64-181,12
a-hrc-13-40-add-1,a-hrc-10-8-add-1,12
a-hrc-22-53,a-63-175,12
a-hrc-25-54,a-68-289,12
a-hrc-39-46,a-hrc-36-39,12
a-hrc-40-56,a-73-164,12
a-hrc-47-38,e-c-12-gc-22,12
a-hrc-48-55,a-hrc-45-16,12
a-hrc-50-23,a-hrc-23-39,12
a-hrc-52-27,a-77-246,12
a-hrc-52-36,a-hrc-31-55,12
a-hrc-52-40,a-77-177,12
a-hrc-55-54,a-hrc-40-57,12
a-hrc-56-46,a-74-161,12
a-hrc-59-49,a-72-335,12
a-hrc-63-28,a-hrc-60-35,12
e-c-12-gc-22,e-c-12-2000-4,12
e-cn-4-1984-21,e-cn-4-1492,12
